prod_id,title,main_cat,sub_cat,category_id,desc,is_active,artist_name,year_taken,format_id,show_bw_conversion,rotating_keyword
1070,Walter Payton & Jim McMahon,Chicago Bears,Chicago Bears Players,23,This Chicago Bears Players photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This photo captures Jim McMahon handing off to 'The Great' Walter Payton during a game against the Indianappolis Colts.,TRUE,bob horsch,2004,1,TRUE,print
1071,85 Bears Offensive Huddle,Chicago Bears,Chicago Bears Players,23,This Chicago Bears Players photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,TRUE,bob horsch,2004,1,TRUE,picture
1108,Harry Caray - Bud Fan,Chicago Cubs,Chicago Cubs Players,27,This Chicago Cubs Players photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,FALSE,bob horsch,2004,1,TRUE,photograph
1370,The Fog Bowl - Chicago Bears Classic,Chicago Bears,Chicago Bears Players,23,"This Chicago Bears Players photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This classic action shot was taken during the infamous Fog Bowl on December 31, 1988.  The photo captures Randall Cunningham of the Philidelphia Eagles throwing a pass down field against the Bears Defense.  Although outdated, this photo still remains a best seller for the avid Chicago Bears fan.",TRUE,bob horsch,2004,1,TRUE,photo
1421,Hall of Fame Harry,Chicago Cubs,Chicago Cubs Players,27,"This Chicago Cubs Players photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This photo features a 'larger than life' image of Harry Caray painted on the side of a building near Wrigley Field.    Also included on the building is the signature calling, 'Holy Cow!' advertised by Budweiser.",FALSE,bob horsch,2004,1,TRUE,print
1423,Early Morning Shadows,Chicago Cityscape,Chicago Cityscape,26,"This Chicago Cityscape photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This color photo features a view of the Chicago Lakefront and Skyline looking South.  The second tallest building in Chicago, the John Hancock, can be spotted as you look right between the two trees.  This photo was taken right off Fullerton Street during the early morning of a Summer day.",TRUE,bob horsch,2004,1,TRUE,picture
1424,Scully Boat Practice,Chicago Cityscape,Chicago Cityscape,26,This Chicago Cityscape photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This color photo captures the Lincoln Park lagoon on a cool Autumn day.  A scully boat team rows further as they view the changing colors of nature and see the John Hancock building in the distance.  This photograph was taken on Fullerton Street which crosses right above the lagoon.,TRUE,bob horsch,2004,1,TRUE,photograph
1445,Michael Jordan vs Dennis Rodman of the Pistons,Chicago Bulls,Michael Jordan,40,This Michael Jordan photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,FALSE,bob horsch,2004,1,TRUE,photo
1446,Larry Bird and Michael Jordan,Chicago Bulls,Michael Jordan,40,"This Michael Jordan photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This is a classic photograph of two of the greatest basketball players to every play the game.  The photo captures Larry Bird, of the Boston Celtics, guarding Michael Jordan.    Keep in mind that the two rarely guarded each other since Bird was a forward and Jordan was a shooting guard.  The photo was taken in the late 80's and this can be observed by both players uniforms.  It has now been over 20 years and this is still one of my best selling photographs.",TRUE,bob horsch,2004,1,TRUE,print
1470,Aerial of Chicago,Chicago Cityscape,Chicago Aerial Views,22,"This Chicago Aerial Views photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This night photo captures the entire Chicago Skyline with all the skyscrapers lit up.  It also features Soldier Field, home to the Chicago Bears, and Lake Shore Drive, and much more.  The photograph was taken from the roof top of the McCormick Place around the early 90's.    Click on the photos below to see how the current Chicago Skyline looks.",TRUE,bob horsch,2004,1,TRUE,picture
1476,1990 All Star Game - Wrigley Field,Chicago Cubs,Wrigley Field,63,This Wrigley Field photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,TRUE,bob horsch,2004,1,TRUE,photograph
1509,Old and New Comiskey Park- Aerial Picture,Chicago White Sox,Comiskey Park,34,"This Comiskey Park photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This is a very rare & classic aerial photograph of Old & New Comiskey Park side by side.  The new stadium would later be renamed U.S. Cellular Field, in 2003.   The picture was taken from a small airplane during a home game in 1990, as the construction was almost complete on the new ballpark next door.    The following season, the Innagural game would be played at new Comiskey.  Soon after, demolition would begin on Old Comiskey.  This photo would make a great collector's piece for any die hard White Sox fan.",TRUE,bob horsch,2004,1,TRUE,photo
1519,Last Game at Comiskey Park,Chicago White Sox,Comiskey Park,34,"This Comiskey Park photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This is a photograph taken at the final game at Old Comiskey Park in 1990.  After the game all the playerS and coaches came out onto the field to embrace their loyal fans from over the years.  High up on the scoreboard in big letters were the words:   THANKS FOR THE MEMORIES COMISKEY PARK 1910-1990    The new stadium being built next door would later be renamed U.S. Cellular Field, in 2003.   This photo would make a great collector's piece for any die hard White Sox fan.",TRUE,bob horsch,2004,1,TRUE,print
1530,Comiskey Park Aerial at Night,Chicago White Sox,Comiskey Park,34,This Comiskey Park photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,TRUE,bob horsch,2004,1,TRUE,picture
1531,Fireworks at Comiskey Park,Chicago White Sox,Comiskey Park,34,This Comiskey Park photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,TRUE,bob horsch,2004,1,TRUE,photograph
1532,Last Fireworks at Old Comiskey Park,Chicago White Sox,Comiskey Park,34,"This Comiskey Park photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This is a photograph taken at the final game at Old Comiskey Park in 1990.  After the game, the White Sox tradition continued as fireworks filled the night sky.  The following season, the White Sox would play right across the street at the New Comiskey Park.  The new ballpark would later be renamed U.S. Cellular Field, in 2003.   This photo would make a great collector's piece for any die hard White Sox fan.",TRUE,bob horsch,2004,1,TRUE,photo
1534,Old Chicago Water Tower,Chicago Landmarks,Chicago Water Tower,33,"This Chicago Water Tower photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This color photograph features a historic landmark in Chicago, the Water Tower.   The water tower was the only public building in the burned zone to survive the Great Chicago Fire of 1871.  Currently it is the only surviving structure still standing.  In this photo, the building is lit up at night for the holiday season along with all the Christmas lights.",TRUE,bob horsch,2004,1,TRUE,print
1536,Chicago Water Tower,Chicago Landmarks,Chicago Water Tower,33,"This Chicago Water Tower photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This vertical photograph features a historic landmark in Chicago, the Water Tower.   The water tower was the only public building in the burned zone to survive the Great Chicago Fire of 1871. Currently it is the only surviving structure still standing.  In this photo, the building is lit up at night for the holiday season along with all the Christmas lights.",TRUE,bob horsch,2004,1,TRUE,picture
1545,Winter Day on Chicago Lakefront,Chicago Cityscape,Chicago Cityscape,26,This Chicago Cityscape photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This photograph was taken around 20 years ago on a very cold day during Chicago's Winter Season.,TRUE,bob horsch,2004,1,TRUE,photograph
1549,Last Game at Comiskey Park - In The Parking Lots,Chicago White Sox,Comiskey Park,34,This Comiskey Park photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,TRUE,bob horsch,2004,1,TRUE,photo
1552,Old Soldier Field,Chicago Bears,Soldier Field,50,"This Soldier Field photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This shot features a view inside Soldier Field Stadium prior to the renovation in 2003.  Not only do you get a glimpse of the Chicago Bears fans and players, but the beautiful Chicago skyline can be seen in the distant backround under the cloudy skies.",TRUE,bob horsch,2004,1,TRUE,print
1566,All Star Game at Old Chicago Stadium,Chicago Blackhawks,Old Chicago Stadium,45,This Old Chicago Stadium photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  The photo comes with the option to include a black plate with the following in gold writing:  REMEMBER THE ROAR CHICAGO BLACKHAWKS 1929-1994,TRUE,bob horsch,2004,1,TRUE,picture
1581,Michael Jordan & David Robinson Hall of Fame,Chicago Bulls,Michael Jordan,40,This Michael Jordan photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,FALSE,bob horsch,2004,1,TRUE,photograph
1583,Front of Old Comiskey Park,Chicago White Sox,Comiskey Park,34,This Comiskey Park picture is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  Fans stroll in to the ballpark at Old Comiskey home to the Chicago White Sox.,TRUE,bob horsch,2004,1,TRUE,photo
1588,Old Chicago Stadium - Inside View,Chicago Blackhawks,Old Chicago Stadium,45,This Old Chicago Stadium photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  The photo comes with the option to include a black plate with the following in gold writing:  REMEMBER THE ROAR CHICAGO BLACKHAWKS 1929-1994,TRUE,bob horsch,2004,1,TRUE,print
1610,Michael Jordan Guarding Magic Johnson,Chicago Bulls,Michael Jordan,40,This Michael Jordan photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This photograph was taken during the 1991 NBA Finals between the Chicago Bulls and the Los Angeles Lakers.  It features both teams on the Bulls Court as Michael Jordan defends against Magic Johnson.    These basketball players will go down as two of the greatest to ever play the game.  View Michael Jordan soaring over Patrick Ewing,TRUE,bob horsch,2004,1,TRUE,picture
1614,1991 NBA Finals - Chicago Bulls vs LA Lakers,Chicago Bulls,Bulls Championship,19,This Bulls Championship photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,FALSE,bob horsch,2004,1,TRUE,photograph
1623,Buckingham Fountain,Chicago Landmarks,Buckingham Fountain,18,This Buckingham Fountain photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This color photograph highlights the Buckingham fountain located in the heart of Grant Park.    The fountain is a great landmark of Chicago which has a light and music show at dusk while the water display runs.   Water from the center jet actually shoots up to 150 feet in the air and the display runs for 20 minutes every hour on the hour.,TRUE,bob horsch,2004,1,TRUE,photo
1652,Bridges Up For Sailboats,Chicago Cityscape,Chicago Cityscape,26,This Chicago Cityscape photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This Chicago color photo features the opening of the Chicago bridges as the sailboats from the harbor and Lake Michigan travel up & down the Chicago River.    This photograph was taken just west of the Dearborn Street bridge.,TRUE,bob horsch,2004,1,TRUE,print
1664,Wisconsin Football Stadium - Camp Randall Stadium - Badgers,College Football,Big Ten College Stadiums,7,"This Big Ten College Stadiums print is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This aerial photo features the college campus of the University of Wisconsin focusing on Camp Randall Stadium, home to the Wisconsin Badgers Big Ten college football team.  This photograph was taken around 1990.",TRUE,bob horsch,2004,1,TRUE,picture
1669,Illini Football - Memorial Stadium Aerial,College Football,Big Ten College Stadiums,7,"This Big Ten College Stadiums picture is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This aerial photo features an outdoor view of Memorial Stadium, home to the University of Illinois at Urbana-Champaign Fighting Illini Big Ten college football team.  This was taken approximately 15 years ago.",TRUE,bob horsch,2004,1,TRUE,photograph
1671,Michigan State Football - Spartan Stadium,College Football,Big Ten College Stadiums,7,"This Big Ten College Stadiums photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This aerial photo features Spartan Stadium, home to the Michigan State University Spartans Big Ten college football team  This photograph was taken around 1990.",TRUE,bob horsch,2004,1,TRUE,photo
1673,Boillermaker Football - Purdue Stadium Aerial,College Football,Big Ten College Stadiums,7,This Big Ten College Stadiums picture is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,TRUE,bob horsch,2004,1,TRUE,print
1675,Michigan Football Stadium - Wolverine Football - The Big House,College Football,Big Ten College Stadiums,7,"This Big Ten College Stadiums photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This aerial photo features Michigan Stadium (aka The Big House) , home to the University of Michigan Wolverines Big Ten college football team.  College Stadium Main Page",TRUE,bob horsch,2004,1,TRUE,picture
1679,Jeremy Roenick Introduction,Chicago Blackhawks,Old Chicago Stadium,45,This Old Chicago Stadium photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,TRUE,bob horsch,2004,1,TRUE,photograph
1683,Cubs First Night Game 8-8-88 at Wrigley Field,Chicago Cubs,Wrigley Field,63,"This Wrigley Field print is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This is a classic photo taken before the start of the Chicago Cubs first night game on 8/8/88.    The photo was taken from the rooftop of  the Cubby Bear Bar & Restaurant.  The photo features the Cubs Marquee with the words, 'WELCOME TO OPENING NIGHT'.",TRUE,bob horsch,2004,1,TRUE,photo
1685,1991 NBA Finals - Bulls & Lakers,Chicago Bulls,Bulls Championship,19,"This Bulls Championship photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This photograph captures the 1997 Chicago Bulls team walking off the court for a timeout.    The team included Micheal Jordan, Scottie Pippen, Dennis Rodman, Ron Harper & Bill Wellington.  Steve Kerr is pictured coming off the bench.  This dynamic team would go on to help the Chicago Bulls win their 5th NBA Championship in only 7 years.",TRUE,bob horsch,2004,1,TRUE,print
1707,Coach Mike Ditka,Chicago Bears,Chicago Bears Players,23,This Chicago Bears Players photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,TRUE,bob horsch,2004,1,TRUE,picture
1709,A Cold Day in the City,Chicago Black & White,Black & White Chicago - Horizontal,9,This Black & White Chicago - Horizontal picture is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This photograph was actually taken with color film and features the Chicago Lakefront on a very cold day.  The clouds filled the sky and snow covered all the ground causing this photo to appear as if it were taken with black & white film.  It's days like these that make Chicagoans appreciate the wonderful summer weather.,TRUE,bob horsch,2004,1,FALSE,photograph
1720,Michael Jordan Drives Past Drexler w/ Tongue Out,Chicago Bulls,Michael Jordan,40,This Michael Jordan photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This photograph captures Michael Jordan driving past Clyde Drexler with his tongue out.  He would continue toward the hoop to dunk over one of the Trailblazers players.  View another photo of Michael Jordan,TRUE,bob horsch,2004,1,TRUE,photo
1722,Michael Jordan Dribbles Down Court,Chicago Bulls,Michael Jordan,40,This Michael Jordan photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This photograph captures Michael Jordan as he dribble past half court about to call out plays to the rest of the Chicago Bulls team.  View similar photo of Michael Jordan,FALSE,bob horsch,2004,1,TRUE,print
1734,Chicago Stadium - Chicago Blackhawks,Chicago Blackhawks,Old Chicago Stadium,45,This Old Chicago Stadium photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  The photo comes with the option to include a black plate with the following in gold writing:  REMEMBER THE ROAR CHICAGO BLACKHAWKS 1929-1994,TRUE,bob horsch,2004,1,TRUE,picture
1743,Eddie Belfour - Standing Goal,Chicago Blackhawks,Chicago Blackhawks Players,24,This Chicago Blackhawks Players photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,FALSE,bob horsch,2004,1,TRUE,photograph
1745,Michael Jordan Soars Over Ewing,Chicago Bulls,Michael Jordan,40,"This Michael Jordan photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This is a classic photograph of Michael Jordan driving to the basket, passing Knicks defenders, and then soaring over Patrick Ewing to make a layup.    As he flies toward the hoop, Jordan sticks his tounge out which would come to be known as his signature move.  Also notice in the background the great coach, Pat Riley.  If you look hard enough, you will also notice Jim Belushi in the stands.",TRUE,bob horsch,2004,1,TRUE,photo
1752,1992 NBA Finals - Bulls & Trailblazers,Chicago Bulls,Bulls Championship,19,"This Bulls Championship photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This photograph captures the 1997 Chicago Bulls team walking off the court for a timeout.    The team included Micheal Jordan, Scottie Pippen, Dennis Rodman, Ron Harper & Bill Wellington.  Steve Kerr is pictured coming off the bench.  This dynamic team would go on to help the Chicago Bulls win their 5th NBA Championship in only 7 years.",TRUE,bob horsch,2004,1,TRUE,print
1810,Carlton Fisk Home Run,Chicago White Sox,Comiskey Park,34,This Comiskey Park photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,FALSE,bob horsch,2004,1,TRUE,picture
1849,View of Soldier Field and Chicago Skyline,Chicago Bears,Soldier Field Aerials,51,"This Soldier Field Aerials picture is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This aerial photo taken during the mid 1980's shows off the great city of Chicago.  All in one image we see Soldier Field, Grant Park, the Field Museum, the Adler Planetarium, Michigan Lake, and the beautiful city skyline.",TRUE,bob horsch,2004,1,TRUE,photograph
1861,Old Tiger Stadium Aerial - Home of the Detroit Tigers,Other Sports Stadiums,Chicago Marathon,29,This Chicago Marathon photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,FALSE,bob horsch,2004,1,TRUE,photo
1864,Iowa  Football Stadium - Hawkeye Football Photos - Kinnick Stadium,College Football,Big Ten College Stadiums,7,"This Big Ten College Stadiums photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This aerial photo features Kinnick Stadium, home to the University of Iowa Hawkeyes Big Ten college football team.",TRUE,bob horsch,2004,1,TRUE,print
1866,Indiana Football - Memorial Stadium - Hoosier Football,College Football,Big Ten College Stadiums,7,"This Big Ten College Stadiums photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This aerial photo features Memorial Stadium, home to the Indiana University Hoosiers Big Ten college football team.",TRUE,bob horsch,2004,1,TRUE,picture
1875,Mike Singletary on the Sidelines,Chicago Bears,Chicago Bears Players,23,This Chicago Bears Players photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,FALSE,bob horsch,2004,1,TRUE,photograph
1883,Wrigley Building at Night,Chicago Landmarks,Wrigley Building,62,This Wrigley Building photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This photographs features the Wrigley Building located on the Magnificent Mile.    It is a skyscraper located directly across from the Tribune Tower and was built to house the corporate headquarters of the Wrigley Company.,TRUE,bob horsch,2004,1,TRUE,photo
