title,description,main_category,super_category,is_active,meta_title,meta_desc,alt_tag,main_category_id,id_num
Boston Skyline,This is the category description,Boston,Top US Cities,TRUE,This is the meta title,This is the meta desc,This is the alt tag,2,17
Buckingham Fountain,This is the category description,Chicago Landmarks,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,9,18
Bulls Championship,This is the category description,Chicago Bulls,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,6,19
Camden Yards,This is the category description,MLB,Other Sports,FALSE,This is the meta title,This is the meta desc,This is the alt tag,16,20
Cellular Field Panoramas,This is the category description,Chicago White Sox,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,12,21
Chicago Aerial Views,This is the category description,Chicago Cityscape,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,7,22
Chicago Bears Players,This is the category description,Chicago Bears,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,3,23
Chicago Blackhawks Players,This is the category description,Chicago Blackhawks,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,5,24
Chicago Board Of Trade,This is the category description,Chicago Landmarks,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,9,25
Chicago Cityscape,This is the category description,Chicago Cityscape,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,7,26
Chicago Cubs Players,This is the category description,Chicago Cubs,Chicago Sports,FALSE,This is the meta title,This is the meta desc,This is the alt tag,8,27
Chicago Daytime & Aerial Panoramas,This is the category description,Chicago Panoramas,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,10,28
Chicago Marathon,This is the category description,xxx,xxx,FALSE,This is the meta title,This is the meta desc,This is the alt tag,20,29
Chicago Sculptures,This is the category description,Chicago Landmarks,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,9,30
Chicago Street Cars,This is the category description,Chicago Vintage,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,11,31
Chicago Theatre,This is the category description,Chicago Landmarks,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,9,32
Chicago Water Tower,This is the category description,Chicago Landmarks,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,9,33
Comiskey Park,This is the category description,Chicago White Sox,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,12,34
Fenway Park,This is the category description,Boston,Top US Cities,TRUE,This is the meta title,This is the meta desc,This is the alt tag,2,35
Golden Gate Bridge,This is the category description,San Francisco,Top US Cities,TRUE,This is the meta title,This is the meta desc,This is the alt tag,19,36
Historic Vintage Chicago Landmarks,This is the category description,Chicago Vintage,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,11,37
Ireland & Irish Pubs,This is the category description,European Cities,Europen Cities,FALSE,This is the meta title,This is the meta desc,This is the alt tag,14,38
Lambeau Field,This is the category description,NFL,Other Sports,FALSE,This is the meta title,This is the meta desc,This is the alt tag,18,39
Michael Jordan,This is the category description,Chicago Bulls,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,6,40
Millennium Park,This is the category description,Chicago Landmarks,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,9,41
Modern Day Chicago - Thick Black Frame,This is the category description,Chicago Black & White,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,4,42
Navy Pier,This is the category description,Chicago Landmarks,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,9,43
Notre Dame Football,This is the category description,College Football,Other Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,13,44
Old Chicago Stadium,This is the category description,Chicago Blackhawks,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,5,45
Other Famous Chicago Landmarks,This is the category description,Chicago Landmarks,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,9,46
San Francisco Landmarks,This is the category description,San Francisco,Top US Cities,TRUE,This is the meta title,This is the meta desc,This is the alt tag,19,47
San Francisco Skyline,This is the category description,San Francisco,Top US Cities,TRUE,This is the meta title,This is the meta desc,This is the alt tag,19,48
Shea Stadium,This is the category description,MLB,Other Sports,FALSE,This is the meta title,This is the meta desc,This is the alt tag,16,49
Soldier Field,This is the category description,Chicago Bears,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,3,50
Soldier Field Aerials,This is the category description,Chicago Bears,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,3,51
Soldier Field Panoramas,This is the category description,Chicago Bears,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,3,52
State Street,This is the category description,Chicago Landmarks,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,9,53
Sunset & Dusk Panoramas,This is the category description,Chicago Panoramas,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,10,54
Tall Ships Chicago 2010,This is the category description,Chicago Landmarks,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,9,55
Top 10 of 2014,This is the category description,Best Sellers,Most Popular,TRUE,This is the meta title,This is the meta desc,This is the alt tag,1,56
Top Christmas Gifts,This is the category description,Holiday Shopping,Most Popular,TRUE,This is the meta title,This is the meta desc,This is the alt tag,15,57
Trump Tower Chicago,This is the category description,Chicago Landmarks,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,9,58
Us Cellular Field,This is the category description,Chicago White Sox,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,12,59
Vintage Chicago Skyline,This is the category description,Chicago Vintage,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,11,60
Vintage Chicago Sports,This is the category description,Chicago Vintage,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,11,61
Wrigley Building,This is the category description,Chicago Landmarks,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,9,62
Wrigley Field,This is the category description,Chicago Cubs,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,8,63
Wrigley Field Aerials,This is the category description,Chicago Cubs,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,8,64
Wrigley Field Panoramas,This is the category description,Chicago Cubs,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,8,65
Yankee Stadium,This is the category description,MLB,Other Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,16,66
Oceanic Views,This is the category description,Nature,Nature,TRUE,This is the meta title,This is the meta desc,This is the alt tag,17,67
Rocky Landscapes,This is the category description,Nature,Nature,TRUE,This is the meta title,This is the meta desc,This is the alt tag,17,68
Seascapes,This is the category description,Nature,Nature,TRUE,This is the meta title,This is the meta desc,This is the alt tag,17,69
Black & White Nature,This is the category description,Nature,Nature,TRUE,This is the meta title,This is the meta desc,This is the alt tag,17,70
